iter	Logloss
0	0.681029733
1	0.6711386903
2	0.6629928048
3	0.6563878091
4	0.6510029157
5	0.6465734768
6	0.6428519503
7	0.6398890781
8	0.6373343945
9	0.6352921708
10	0.6336266422
11	0.6322802289
12	0.6311734581
13	0.6302514362
14	0.6294142946
15	0.6287879117
16	0.6281443501
17	0.6277315426
18	0.6272160467
19	0.6268826135
20	0.6264552593
21	0.6261989625
22	0.6258632819
23	0.6255076504
24	0.6252766482
25	0.6251012993
26	0.6249214745
27	0.6247863547
28	0.6246736018
29	0.6245632617
30	0.6244161224
31	0.6242478307
32	0.6240550995
33	0.6238829676
34	0.6236709309
35	0.6235653528
36	0.623492562
37	0.6233759308
38	0.6232365417
39	0.6231722705
40	0.623082304
41	0.6229880969
42	0.6228965346
43	0.6227860324
44	0.622681392
45	0.6225091585
46	0.622427702
47	0.6223100281
48	0.6222101657
49	0.6221484598
50	0.6220725536
51	0.6219415919
52	0.6218895658
53	0.6217712116
54	0.6216567612
55	0.6215584723
56	0.6215219561
57	0.621464421
58	0.6214189625
59	0.6213528665
60	0.621200854
61	0.6211343034
62	0.6210400391
63	0.6209428088
64	0.6208454641
65	0.6207748413
66	0.6206974125
67	0.6206532701
68	0.6205811469
69	0.620449117
70	0.6204081186
71	0.6202992503
72	0.6202429962
73	0.6201485729
74	0.6200889683
75	0.6199981276
76	0.6199728044
77	0.6199072774
78	0.6198438613
79	0.6197998587
80	0.6197050508
81	0.6196198559
82	0.6195853233
83	0.6195127138
84	0.6194575246
85	0.6193969949
86	0.6193625546
87	0.6192785199
88	0.6192488225
89	0.619133714
90	0.6190953318
91	0.6190341791
92	0.6189729277
93	0.6189065138
94	0.6188187408
95	0.6187303384
96	0.6186811956
97	0.6186440214
98	0.6186164951
99	0.6185209179
100	0.618475825
101	0.6183978844
102	0.6183499241
103	0.6182989597
104	0.6182444668
105	0.6181745752
106	0.6181185881
107	0.6180465317
108	0.6180071259
109	0.617961839
110	0.6178946527
111	0.617827177
112	0.6177684752
113	0.6176825555
114	0.6176432673
115	0.6176066049
116	0.6175079473
117	0.6173999977
118	0.617310737
119	0.6172644615
120	0.6171894042
121	0.6171282959
122	0.6170750364
123	0.6170002365
124	0.6169478957
125	0.61690581
126	0.6168477249
127	0.6167970085
128	0.6166994222
129	0.6166273753
130	0.6165791321
131	0.6164974944
132	0.6164379406
133	0.6163688342
134	0.6163267517
135	0.6162596385
136	0.6161818441
137	0.6160887623
138	0.6160006587
139	0.6159359932
140	0.6158543428
141	0.6158003839
142	0.6157536602
143	0.6156767241
144	0.6156123066
145	0.6155338446
146	0.6154811827
147	0.6153946781
148	0.6153353691
149	0.6152848911
150	0.6152041976
151	0.6151224136
152	0.614996233
153	0.6148975245
154	0.6148569393
155	0.6147985586
156	0.6147372818
157	0.6146903928
158	0.6146327051
159	0.6145971743
160	0.6145215098
161	0.6144455401
162	0.6143912061
163	0.6143152714
164	0.6142451954
165	0.6141636562
166	0.6141098499
167	0.6140383561
168	0.6139968618
169	0.6139117781
170	0.6138668696
171	0.613817145
172	0.6137565835
173	0.6137028662
174	0.6136600208
175	0.6135976156
176	0.613518734
177	0.613426822
178	0.6133520349
179	0.6132950306
180	0.6132007631
181	0.6131450176
182	0.6130802472
183	0.613000466
184	0.6129122798
185	0.6128359667
186	0.6127704652
187	0.6127281253
188	0.6126646137
189	0.6126016172
190	0.6125861708
191	0.6125202465
192	0.6124725596
193	0.6124342155
194	0.6124018447
195	0.6123612817
196	0.6123157787
197	0.6122457091
198	0.6122057692
199	0.6121326955
200	0.6120660114
201	0.6120035585
202	0.6119788742
203	0.6119276015
204	0.6118953451
205	0.6118453789
206	0.6118089803
207	0.6117528025
208	0.6117024549
209	0.6116316732
210	0.6114781698
211	0.6114302667
212	0.6114055634
213	0.6113267295
214	0.6112621212
215	0.6111862596
216	0.6111445173
217	0.6111080106
218	0.6110554949
219	0.6109940275
220	0.6109568532
221	0.6109147231
222	0.6108708668
223	0.610829366
224	0.610794754
225	0.6107545376
226	0.6106990465
227	0.6106262175
228	0.6105732409
229	0.6105239773
230	0.6104978021
231	0.6104404163
232	0.6104162121
233	0.6103328323
234	0.6103101985
235	0.6102506479
236	0.6102137216
237	0.6101534971
238	0.6101154137
239	0.6100733757
240	0.6100321674
241	0.6099823952
242	0.6099386501
243	0.609912618
244	0.609853096
245	0.6097648303
246	0.6097230212
247	0.6096872362
248	0.6095868333
249	0.6095305538
250	0.6094541327
251	0.6094313367
252	0.6093631109
253	0.6093327808
254	0.6092706331
255	0.6091775099
256	0.6091136169
257	0.609028368
258	0.6090057596
259	0.6089628601
260	0.6089077187
261	0.608878727
262	0.6088140869
263	0.6087890116
264	0.608720878
265	0.6086648337
266	0.6086360041
267	0.6085527229
268	0.6084896819
269	0.6084498056
270	0.6083930206
271	0.608353548
272	0.608297526
273	0.6082791837
274	0.6082484023
275	0.6081961282
276	0.6081523069
277	0.6080756632
278	0.6080506897
279	0.6080166086
280	0.6079412683
281	0.6079045105
282	0.6078886191
283	0.6078597991
284	0.6078063234
285	0.6077080822
286	0.6076619562
287	0.6076467482
288	0.6075980504
289	0.607571106
290	0.6075525538
291	0.6075032997
292	0.6074740283
293	0.607430795
294	0.6074021085
295	0.6073744392
296	0.6073397128
297	0.6072879696
298	0.6072574743
299	0.6072335339
300	0.6071640523
301	0.607134997
