iter	MultiClass
286	1.153636516
287	1.152832764
288	1.151994949
289	1.150972002
290	1.150445887
291	1.149483834
292	1.148456108
293	1.147209188
294	1.146199351
295	1.145491534
296	1.1446139
297	1.144023337
298	1.142981399
299	1.142022287
300	1.141049329
301	1.140386233
302	1.13975487
303	1.138385427
304	1.137425089
305	1.136688234
306	1.135982255
307	1.135219425
308	1.13451222
309	1.133761152
310	1.132774227
311	1.131761694
312	1.131028637
313	1.130184329
314	1.129507633
315	1.128704737
316	1.127871334
317	1.127415792
318	1.12641784
319	1.125465466
320	1.124757159
321	1.124174683
322	1.123123555
323	1.12195162
324	1.121248704
325	1.12004724
326	1.118953107
327	1.118043616
328	1.117489076
329	1.116705784
330	1.116252938
331	1.115649266
332	1.114941081
333	1.113614031
334	1.112734926
335	1.111640793
336	1.110483438
337	1.109774885
338	1.109076135
339	1.108333889
340	1.107893785
341	1.107175553
342	1.106357955
343	1.105873131
344	1.104420862
345	1.10352056
346	1.10229594
347	1.101737724
348	1.100743447
349	1.099834446
350	1.099051277
351	1.098374949
352	1.097383735
353	1.096638916
354	1.095898875
355	1.095013277
356	1.094083692
357	1.093288638
358	1.092561218
359	1.091843231
360	1.090744074
361	1.090012365
362	1.08938039
363	1.088758094
364	1.088040107
365	1.087570353
366	1.086771501
367	1.085697462
368	1.085287989
369	1.08479814
370	1.084318952
371	1.083364128
372	1.08258782
373	1.081737631
374	1.081075024
375	1.080457384
376	1.079917179
377	1.078865562
378	1.07839642
379	1.077785396
380	1.076571803
381	1.075877831
382	1.075251491
383	1.074306224
384	1.07336304
385	1.072833004
386	1.072231169
387	1.071777588
388	1.070811369
389	1.069870758
390	1.069276887
391	1.068374503
392	1.067700012
393	1.066816741
394	1.065436149
395	1.064999231
396	1.064165949
397	1.063744102
398	1.062957992
399	1.062259732
400	1.061842295
401	1.061185815
402	1.060599663
403	1.059895522
404	1.05913894
405	1.058259591
406	1.057479362
407	1.056608957
408	1.056048045
409	1.05541803
410	1.054782502
411	1.054381973
412	1.053500663
413	1.052885351
414	1.052040552
415	1.051335063
416	1.050366394
417	1.04958739
418	1.048687212
419	1.047976209
420	1.047264839
421	1.046769599
422	1.046027353
423	1.045388517
424	1.045028298
425	1.044415191
426	1.043444807
427	1.042900926
428	1.042096315
429	1.041027789
430	1.040010723
431	1.039505437
432	1.038612732
433	1.03805035
434	1.037631443
435	1.036929017
436	1.036333309
437	1.035851914
438	1.035167622
439	1.034499134
440	1.034051679
441	1.03313594
442	1.032209909
443	1.031390596
444	1.030370099
445	1.029813843
446	1.02919608
447	1.028716279
448	1.02803897
449	1.02725574
450	1.02673618
451	1.025907922
452	1.025408456
453	1.024702048
454	1.024234131
455	1.023768175
456	1.023269076
457	1.022877002
458	1.02224325
459	1.021688893
460	1.020799619
461	1.019998745
462	1.019351884
463	1.018674636
464	1.018152625
465	1.017552445
466	1.017052243
467	1.016489249
468	1.015817637
469	1.015303162
470	1.014412111
471	1.013767455
472	1.0134356
473	1.012829845
474	1.012356782
475	1.01169773
476	1.010979743
477	1.010192041
478	1.009563373
479	1.009009323
480	1.008198648
481	1.007452848
482	1.006780746
483	1.006383587
484	1.005932211
485	1.005358006
486	1.004567853
487	1.003854277
488	1.003064002
489	1.00248753
490	1.001913569
491	1.001366196
492	1.001081391
493	1.00051227
494	0.9997428848
495	0.9992634511
496	0.9987764209
497	0.9982094443
498	0.9976674012
499	0.9972044468
500	0.9967302816
501	0.9959920174
502	0.9952842002
503	0.9945255358
504	0.993784331
505	0.9930294649
506	0.9925060453
507	0.9917110528
508	0.9911889809
509	0.990455005
510	0.9899585406
511	0.9892195412
512	0.9889680008
513	0.9881513829
514	0.9877030701
515	0.9872253517
516	0.9866953159
517	0.9862962575
518	0.9858911954
