iter	Passed	Remaining
0	10	42049
1	20	41075
2	31	41573
3	41	41508
4	52	41636
5	61	41154
6	71	40844
7	82	41141
8	92	41186
9	102	40993
10	112	40711
11	122	40686
12	131	40473
13	142	40533
14	152	40546
15	162	40502
16	172	40500
17	182	40402
18	192	40240
19	201	40142
20	211	40144
21	221	40044
22	231	40042
23	242	40127
24	252	40069
25	261	39933
26	271	39891
27	282	40058
28	292	40006
29	302	39977
30	311	39903
31	321	39906
32	331	39899
33	342	40006
34	352	39988
35	363	40036
36	373	40021
37	384	40133
38	394	40079
39	403	39966
40	412	39810
41	421	39707
42	430	39650
43	441	39660
44	450	39604
45	460	39558
46	469	39457
47	478	39383
48	488	39399
49	497	39272
50	507	39286
51	516	39191
52	525	39110
53	535	39126
54	544	39057
55	553	38990
56	563	38970
57	572	38942
58	583	38944
59	592	38912
60	601	38846
61	611	38845
62	620	38802
63	630	38791
64	639	38741
65	649	38716
66	659	38693
67	668	38630
68	677	38570
69	685	38510
70	695	38493
71	704	38453
72	714	38447
73	723	38378
74	732	38337
75	742	38335
76	751	38300
77	760	38249
78	770	38225
79	779	38187
80	787	38124
81	797	38120
82	807	38118
83	816	38081
84	826	38054
85	835	38021
86	844	37963
87	853	37926
88	862	37882
89	871	37855
90	880	37813
91	889	37766
92	898	37732
93	907	37725
94	917	37722
95	927	37733
96	937	37719
97	946	37671
98	954	37630
99	963	37590
100	972	37539
101	981	37511
102	990	37479
103	999	37439
104	1007	37389
105	1017	37369
106	1025	37320
107	1035	37322
108	1044	37293
109	1053	37268
110	1062	37228
111	1071	37207
112	1080	37180
113	1089	37146
114	1099	37146
115	1109	37161
116	1119	37159
117	1128	37112
118	1137	37100
119	1147	37095
120	1157	37091
121	1166	37082
122	1175	37050
123	1184	37026
124	1193	36996
125	1203	37002
126	1212	36980
127	1222	36969
128	1231	36954
129	1240	36922
130	1249	36905
131	1259	36897
132	1267	36860
133	1277	36848
134	1286	36839
135	1295	36815
136	1305	36799
137	1313	36765
138	1322	36748
139	1332	36741
140	1340	36701
141	1350	36684
142	1359	36667
143	1369	36659
144	1377	36624
145	1387	36618
146	1395	36589
147	1404	36543
148	1413	36541
149	1422	36512
150	1432	36510
151	1441	36499
152	1451	36494
153	1460	36478
154	1468	36436
155	1478	36427
156	1487	36414
157	1496	36395
158	1505	36360
159	1513	36330
160	1521	36291
161	1531	36275
162	1540	36256
163	1549	36240
164	1557	36206
165	1566	36180
166	1574	36146
167	1583	36124
168	1592	36102
169	1601	36087
170	1610	36067
171	1619	36051
172	1628	36024
173	1637	35999
174	1646	35986
175	1655	35971
176	1664	35956
177	1674	35948
178	1683	35937
179	1693	35930
180	1701	35901
181	1710	35877
182	1718	35841
183	1727	35821
184	1735	35794
185	1745	35782
186	1754	35772
187	1763	35760
188	1772	35743
189	1780	35711
190	1790	35710
191	1799	35692
192	1808	35666
193	1816	35632
194	1825	35626
195	1834	35609
196	1844	35599
197	1852	35579
198	1861	35558
199	1870	35533
200	1879	35526
201	1889	35517
202	1897	35500
203	1906	35475
204	1915	35455
205	1923	35429
206	1932	35411
207	1942	35410
208	1951	35404
209	1960	35386
210	1969	35375
211	1979	35363
212	1988	35346
213	1997	35342
214	2006	35332
215	2016	35317
216	2025	35302
217	2034	35298
218	2044	35304
219	2053	35280
220	2062	35267
221	2070	35239
222	2079	35227
223	2090	35233
224	2098	35208
225	2107	35200
226	2116	35177
227	2125	35163
228	2135	35161
229	2144	35158
230	2153	35142
231	2162	35125
232	2171	35115
233	2181	35106
234	2190	35097
235	2199	35079
236	2208	35067
237	2217	35050
238	2226	35039
239	2235	35028
240	2245	35016
241	2254	35006
242	2262	34984
243	2271	34960
244	2279	34944
245	2289	34936
246	2297	34910
247	2305	34886
248	2315	34875
249	2324	34866
250	2333	34851
251	2341	34831
252	2350	34816
253	2359	34801
254	2368	34789
255	2377	34765
256	2386	34759
257	2395	34744
258	2404	34735
259	2413	34719
260	2422	34701
261	2431	34684
262	2439	34666
263	2448	34649
264	2456	34623
265	2466	34617
266	2474	34597
267	2483	34578
268	2492	34570
269	2502	34566
270	2510	34542
271	2518	34521
272	2528	34512
273	2537	34499
274	2545	34483
275	2554	34470
276	2563	34454
277	2572	34441
278	2580	34422
279	2590	34413
280	2599	34400
281	2608	34389
282	2617	34372
283	2625	34352
284	2634	34344
285	2643	34325
286	2652	34313
287	2661	34298
288	2669	34276
289	2678	34270
290	2687	34252
291	2695	34235
292	2705	34225
293	2714	34211
294	2723	34204
295	2731	34186
296	2740	34172
297	2749	34156
298	2758	34141
299	2767	34131
300	2776	34123
301	2786	34117
302	2794	34092
303	2804	34093
304	2813	34081
305	2822	34067
306	2830	34052
307	2839	34039
308	2848	34031
309	2857	34009
310	2866	34000
311	2875	33992
312	2884	33977
313	2893	33962
314	2902	33950
315	2910	33935
316	2919	33922
317	2928	33902
318	2936	33890
319	2946	33882
320	2954	33866
321	2963	33852
322	2973	33847
323	2982	33843
324	2991	33830
325	3001	33826
326	3010	33817
327	3019	33805
328	3027	33784
329	3036	33770
330	3044	33749
331	3053	33731
332	3061	33715
333	3071	33712
334	3080	33706
335	3090	33696
336	3099	33689
337	3108	33679
338	3117	33667
339	3126	33650
340	3134	33632
341	3143	33618
342	3152	33610
343	3161	33600
344	3171	33594
345	3180	33586
346	3190	33583
347	3198	33565
348	3207	33559
349	3216	33548
350	3226	33539
351	3235	33529
352	3244	33521
353	3253	33509
354	3262	33495
355	3271	33489
356	3280	33477
357	3289	33469
358	3298	33456
359	3307	33444
360	3316	33435
361	3326	33425
362	3335	33415
363	3344	33411
364	3354	33410
365	3364	33405
366	3373	33394
367	3383	33396
368	3392	33381
369	3401	33375
370	3410	33360
371	3420	33358
372	3431	33363
373	3440	33355
374	3450	33358
375	3460	33351
376	3470	33349
377	3480	33351
378	3489	33337
379	3499	33332
380	3508	33328
381	3518	33319
382	3528	33319
383	3537	33315
384	3548	33316
385	3556	33302
386	3565	33290
387	3575	33283
388	3584	33277
389	3593	33265
390	3603	33258
391	3612	33249
392	3621	33239
393	3631	33234
394	3641	33235
395	3650	33219
396	3659	33211
397	3668	33203
398	3678	33202
399	3688	33193
400	3696	33178
401	3706	33171
402	3715	33159
403	3724	33151
404	3733	33144
405	3743	33135
406	3752	33126
407	3762	33123
408	3771	33112
409	3780	33098
410	3789	33089
411	3797	33069
412	3806	33061
413	3815	33049
414	3824	33037
415	3833	33030
416	3843	33022
417	3852	33013
418	3862	33006
419	3871	32996
420	3880	32991
421	3889	32978
422	3898	32968
423	3907	32953
424	3915	32932
425	3923	32918
426	3933	32914
427	3942	32907
428	3952	32900
429	3962	32895
430	3971	32885
431	3980	32873
432	3989	32863
433	3998	32855
434	4006	32837
435	4016	32830
436	4025	32821
437	4033	32805
438	4043	32796
439	4052	32787
440	4060	32770
441	4069	32759
442	4079	32754
443	4088	32746
444	4097	32737
445	4107	32729
446	4116	32719
447	4125	32708
448	4134	32696
449	4143	32689
450	4152	32677
451	4162	32671
452	4170	32655
453	4179	32646
454	4188	32630
455	4196	32616
456	4205	32604
457	4213	32589
458	4223	32580
459	4232	32569
460	4241	32562
461	4250	32553
462	4260	32544
463	4269	32535
464	4278	32526
465	4287	32517
466	4296	32501
467	4304	32488
468	4313	32472
469	4321	32459
470	4331	32450
471	4339	32436
472	4348	32422
473	4357	32412
474	4366	32401
475	4375	32390
476	4384	32383
477	4393	32373
478	4402	32362
479	4411	32349
480	4420	32342
481	4430	32335
482	4439	32327
483	4449	32320
484	4457	32307
485	4468	32307
486	4478	32309
487	4488	32305
488	4497	32292
489	4506	32283
490	4517	32282
491	4526	32276
492	4535	32264
493	4546	32269
494	4556	32264
495	4566	32258
496	4575	32246
497	4585	32242
498	4594	32234
499	4603	32224
500	4612	32213
501	4621	32206
502	4631	32196
503	4640	32188
504	4649	32180
505	4658	32170
506	4667	32157
507	4677	32151
508	4685	32137
509	4695	32132
510	4704	32122
511	4714	32114
512	4722	32099
513	4731	32090
514	4740	32076
515	4749	32065
516	4757	32052
517	4766	32040
518	4775	32032
